name,type,category,power,accuracy,pp,description,move_page_desc,makes_contact,introduced,priority
Max Airstream,Flying,0,0,0,0,Flying type Dynamax move. Raises the team's Speed.,Max Airstreamis aDynamax movefrom Pokémon Sword and Shield. Flying type moves turn intoMax Airstreamduring Dynamax.,No,8,0
Max Darkness,Dark,0,0,0,0,Dark type Dynamax move. Lowers the target's Special Defense.,Max Darknessis aDynamax movefrom Pokémon Sword and Shield. Dark type moves turn intoMax Darknessduring Dynamax.,No,8,0
Max Flare,Fire,0,0,0,0,Fire type Dynamax move. Summons harsh sunlight.,Max Flareis aDynamax movefrom Pokémon Sword and Shield. Fire type moves turn intoMax Flareduring Dynamax.,No,8,0
Max Flutterby,Bug,0,0,0,0,Bug type Dynamax move. Lowers the target's Special Attack.,Max Flutterbyis aDynamax movefrom Pokémon Sword and Shield. Bug type moves turn intoMax Flutterbyduring Dynamax.,No,8,0
Max Geyser,Water,0,0,0,0,Water type Dynamax move. Summons heavy rain.,Max Geyseris aDynamax movefrom Pokémon Sword and Shield. Water type moves turn intoMax Geyserduring Dynamax.,No,8,0
Max Guard,Normal,0,0,0,0,Status category Dynamax move. Protects the user.,Max Guardis aDynamax movefrom Pokémon Sword and Shield. Status category moves turn intoMax Guardduring Dynamax.,No,8,4
Max Hailstorm,Ice,0,0,0,0,Ice type Dynamax move. Summons hail.,Max Hailstormis aDynamax movefrom Pokémon Sword and Shield. Ice type moves turn intoMax Hailstormduring Dynamax.,No,8,0
Max Knuckle,Fighting,0,0,0,0,Fighting type Dynamax move. Increases the team's Attack.,Max Knuckleis aDynamax movefrom Pokémon Sword and Shield. Fighting type moves turn intoMax Knuckleduring Dynamax.,No,8,0
Max Lightning,Electric,0,0,0,0,Electric type Dynamax move. Summons Electric Terrain.,Max Lightningis aDynamax movefrom Pokémon Sword and Shield. Electric type moves turn intoMax Lightningduring Dynamax.,No,8,0
Max Mindstorm,Psychic,0,0,0,0,Psychic type Dynamax move. Summons Psychic Terrain.,Max Overgrowthis aDynamax movefrom Pokémon Sword and Shield. Grass type moves turn intoMax Overgrowthduring Dynamax.,No,8,0
Max Ooze,Poison,0,0,0,0,Poison type Dynamax move. Increases the team's Special Attack.,Max Oozeis aDynamax movefrom Pokémon Sword and Shield. Poison type moves turn intoMax Oozeduring Dynamax.,No,8,0
Max Overgrowth,Grass,0,0,0,0,Grass type Dynamax move. Summons Grassy Terrain.,Max Overgrowthis aDynamax movefrom Pokémon Sword and Shield. Grass type moves turn intoMax Overgrowthduring Dynamax.,No,8,0
Max Phantasm,Ghost,0,0,0,0,Ghost type Dynamax move. Lowers the target's Defense.,Max Phantasmis aDynamax movefrom Pokémon Sword and Shield. Ghost type moves turn intoMax Phantasmduring Dynamax.,No,8,0
Max Quake,Ground,0,0,0,0,Ground type Dynamax move. Increases the team's Special Defense.,Max Quakeis aDynamax movefrom Pokémon Sword and Shield. Ground type moves turn intoMax Quakeduring Dynamax.,No,8,0
Max Rockfall,Rock,0,0,0,0,Rock type Dynamax move. Summons a sandstorm.,Max Rockfallis aDynamax movefrom Pokémon Sword and Shield. Rock type moves turn intoMax Rockfallduring Dynamax.,No,8,0
Max Starfall,Fairy,0,0,0,0,Fairy type Dynamax move. Summons Misty Terrain.,Max Starfallis aDynamax movefrom Pokémon Sword and Shield. Fairy type moves turn intoMax Starfallduring Dynamax.,No,8,0
Max Steelspike,Steel,0,0,0,0,Steel type Dynamax move. Raises the team's Defense.,Max Steelspikeis aDynamax movefrom Pokémon Sword and Shield. Steel type moves turn intoMax Steelspikeduring Dynamax.,No,8,0
Max Strike,Normal,0,0,0,0,Normal type Dynamax move. Lowers the target's Speed.,Max Strikeis aDynamax movefrom Pokémon Sword and Shield. Normal type moves turn intoMax Strikeduring Dynamax.,No,8,0
Max Wyrmwind,Dragon,0,0,0,0,Dragon type Dynamax move. Lowers the target's Attack.,Max Wyrmwindis aDynamax movefrom Pokémon Sword and Shield. Dragon type moves turn intoMax Wyrmwindduring Dynamax.,No,8,0
Me First,Normal,Status,0,0,20,User copies the opponent's attack with 1.5× power.,"If the opponent is readying a direct attack, the user ofMe Firstwill try to copy it and attack with 50% more power. The move only works if the user is faster than the opponent or otherwise able to move first (for example a Quick Claw activating).",No,4,0
Mean Look,Normal,Status,0,0,5,Opponent cannot flee or switch.,"Opponent cannot flee or switch.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Mean Lookturns intoZ-Mean Lookand raises Special Defense one stage, in addition to its usual effect as above.",No,2,0
Meditate,Psychic,Status,0,0,40,Raises user's Attack.,Meditateraises the user's Attack by one stage.,No,1,0
Mega Drain,Grass,Special,40,100,15,User recovers half the HP inflicted on opponent.,Mega Draindeals damage and the user will recover 50% of the HP drained.,No,1,0
Mega Kick,Normal,Physical,120,75,5,,Mega Kickdeals damage with no additional effect.,Yes,1,0
Mega Punch,Normal,Physical,80,85,20,,Mega Punchdeals damage with no additional effect.,Yes,1,0
Megahorn,Bug,Physical,120,85,10,,Megahorndeals damage with no additional effect.,Yes,2,0
Memento,Dark,Status,0,100,10,"User faints, sharply lowers opponent's Attack and Special Attack.","User faints, sharply lowers opponent's Attack and Special Attack.ChangesInGeneration 3,Mementoalways hits.Z-Move effectsWhen a Pokémon is holdingDarkinium Zand uses its Z-Power,Mementoturns intoZ-Mementoand fully restores the HP of the Pokémon switching in, in addition to its usual effect as above.",No,3,0
Menacing Moonraze Maelstrom,Ghost,Special,200,0,1,Lunala-exclusive Z-Move.,"Menacing Moonraze Maelstromis a Ghost type Z-Move exclusive toLunalaandDawn Wings Necrozma, introduced inPokémon Ultra Sun & Ultra Moon. It is used with Lunala's signature move,Moongeist Beam.",No,7,0
Metal Burst,Steel,Physical,0,100,10,Deals damage equal to 1.5x opponent's attack.,"Deals damage equal to 1.5x opponent's attack.Z-Move effectsWhen a Pokémon is holdingSteelium Zand uses its Z-Power,Metal Burstturns intoCorkscrew Crashand has base power100.",No,4,0
Metal Claw,Steel,Physical,50,95,35,May raise user's Attack.,Metal Clawdeals damage and has a 10% chance of raising the user's Attack by one stage.,Yes,2,0
Metal Sound,Steel,Status,0,85,40,Sharply lowers opponent's Special Defense.,Metal Soundlowers the target's Special Defense by two stages.,No,3,0
Meteor Assault,Fighting,Physical,150,100,5,User must recharge next turn.,User must recharge next turn.,No,8,0
Meteor Beam,Rock,Special,120,90,10,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.","In this two-turn attack, the user gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",No,8,0
Meteor Mash,Steel,Physical,90,90,10,May raise user's Attack.,Meteor Mashdeals damage and has a 20% chance of raising the user's Attack by one stage.,Yes,3,0
Metronome,Normal,Status,0,0,10,User performs almost any move in the game at random.,"Metronomeuses a random move chosen from nearly all existing moves, even if the user cannot normally learn it.",No,1,0
Mighty Cleave,Rock,Physical,95,100,5,,The user wields the light that has accumulated atop its head to cleave the target. This move hits even if the target protects itself.,No,9,0
Milk Drink,Normal,Status,0,0,5,User recovers half its max HP.,Milk Drinkrecovers up to 50% of the user's maximum HP.,No,2,0
Mimic,Normal,Status,0,0,10,Copies the opponent's last move.,"Mimiccopies the last move used by the target (replacingMimic). The copied move always has 5 PP. The effect only lasts while the user is in battle: if the user switches out or when the battle ends, the move becomesMimicagain.",No,1,0
Mind Blown,Fire,Special,150,100,5,User receives recoil damage.,"Mind Blowndeals damage, but the user sacrifices1⁄2of its maximum HP in recoil.",No,7,0
Mind Reader,Normal,Status,0,0,5,User's next attack is guaranteed to hit.,"User's next attack is guaranteed to hit.ChangesInGenerations 2-3,Mind Readerhas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Mind Readerturns intoZ-Mind Readerand raises Special Attack one stage, in addition to its usual effect as above.",No,2,0
Minimize,Normal,Status,0,0,10,Sharply raises user's Evasiveness.,"Minimizeraises the user's Evasion by two stages, thus making the user more difficult to hit. Stats can be raised to a maximum of +6 stages each.",No,1,0
Miracle Eye,Psychic,Status,0,0,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.","Resets opponent's Evasiveness, removes Dark's Psychic immunity.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Miracle Eyeturns intoZ-Miracle Eyeand raises Special Attack one stage, in addition to its usual effect as above.",No,4,0
Mirror Coat,Psychic,Special,0,100,20,"When hit by a Special Attack, user strikes back with 2x power.","When hit by a Special Attack, user strikes back with 2x power.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Mirror Coatturns intoShattered Psycheand has base power100.",No,2,-5
Mirror Move,Flying,Status,0,0,20,User performs the opponent's last move.,"User performs the opponent's last move.Z-Move effectsWhen a Pokémon is holdingFlyinium Zand uses its Z-Power,Mirror Moveturns intoZ-Mirror Moveand raises Attack two stages, in addition to its usual effect as above.",No,1,0
Mirror Shot,Steel,Special,65,85,10,May lower opponent's Accuracy.,Mirror Shotdeals damage and has a 30% chance of lowering the target's Accuracy by one stage.,No,4,0
Mist,Ice,Status,0,0,30,User's stats cannot be changed for a period of time.,"User's stats cannot be changed for a period of time.Z-Move effectsWhen a Pokémon is holdingIcium Zand uses its Z-Power,Mistturns intoZ-Mistand fully restores the user's HP, in addition to its usual effect as above.",No,1,0
Mist Ball,Psychic,Special,95,100,5,May lower opponent's Special Attack.,Mist Balldeals damage and has a 50% chance of lowering the target's Special Attack by one stage.,No,3,0
Misty Explosion,Fairy,Special,100,100,5,Power increases on Misty Terrain.,The user attacks everything around it and faints upon using this move. This move’s power is increased on Misty Terrain.,No,8,0
Misty Terrain,Fairy,Status,0,0,10,Protects the field from status conditions for 5 turns.,"Misty Terraincreates a low-lying mist lasting 5 turns, that protects all grounded Pokémon from status conditions (including confusion). It also halves the power ofDragontype moves while in effect.",No,6,0
Moonblast,Fairy,Special,95,100,15,May lower opponent's Special Attack.,Moonblastdeals damage and has a 30% chance of lowering the target's Special Attack by one stage.,No,6,0
Moongeist Beam,Ghost,Special,100,100,5,Ignores the target's ability.,"Ignores the target's ability.Z-Move effectsWhen a Pokémon is holdingGhostium Zand uses its Z-Power,Moongeist Beamturns intoNever-Ending Nightmareand has base power180.When Lunala or Dawn Wings Necrozma is holdingLunalium Zand uses its Z-Power,Moongeist Beamturns intoMenacing Moonraze Maelstromand has base power200.",No,7,0
Moonlight,Fairy,Status,0,0,5,User recovers HP. Amount varies with the weather.,The user restores its own HP. The amount of HP regained varies with the weather.,No,2,0
Morning Sun,Normal,Status,0,0,5,User recovers HP. Amount varies with the weather.,"User recovers HP. Amount varies with the weather.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Morning Sunturns intoZ-Morning Sunand eliminates any stat drops applied to the user, in addition to its usual effect as above.",No,2,0
Mortal Spin,Poison,Physical,30,100,15,"Removes entry hazards and trap move effects, and poisons opposing Pokémon.","Removes entry hazards and trap move effects, and poisons opposing Pokémon.",Yes,9,0
Mountain Gale,Ice,Physical,100,85,10,Lowers user's Speed.,Mountain Galedeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,No,8,0
Mud Bomb,Ground,Special,65,85,10,May lower opponent's Accuracy.,Mud Bombdeals damage and has a 30% chance of lowering the target's Accuracy by one stage.,No,4,0
Mud Shot,Ground,Special,55,95,15,Lowers opponent's Speed.,Mud Shotdeals damage and lowers the target's Speed by one stage.,No,3,0
Mud Sport,Ground,Status,0,0,15,Weakens the power of Electric-type moves.,Mud Sportreduces the power ofElectrictype moves by 50%. The effect applies to the entire field.,No,3,0
Mud-Slap,Ground,Special,20,100,10,Lowers opponent's Accuracy.,Mud-Slapdeals damage and lowers the target's Accuracy by one stage.,No,2,0
Muddy Water,Water,Special,90,85,10,May lower opponent's Accuracy.,Muddy Waterdeals damage and has a 30% chance of lowering the target's Accuracy by one stage.,No,3,0
Multi-Attack,Normal,Physical,120,100,10,Type matches Memory item held.,Multi-Attackis the signature move of Silvally. It deals damage with its type matching the Memory item held.,Yes,7,0
Mystical Fire,Fire,Special,75,100,10,Lowers opponent's Special Attack.,Mystical Firedeals damage and lowers the target's Special Attack by one stage.,No,6,0
Mystical Power,Psychic,Special,70,90,10,Raises user's Special Attack.,Mystical Powerdeals damage and raises the user's Special Attack by one stage.,No,8,0
Nasty Plot,Dark,Status,0,0,20,Sharply raises user's Special Attack.,Nasty Plotraises the user's Special Attack by two stages.,No,4,0
Natural Gift,Normal,Physical,0,100,15,Power and type depend on the user's held berry.,"Natural Giftdeals damage with no additional effects. However, its type and base power vary depending on the user's held Berry. The grid below shows which Berries provide which power and type.",No,4,0
Nature Power,Normal,Status,0,0,20,Uses a certain move based on the current terrain.,"WhenNature Poweris used itturns intoa different move depending on the current battle terrain, as listed below.",No,3,0
Nature's Madness,Fairy,Special,0,90,10,Halves the foe's HP.,"Halves the foe's HP.Z-Move effectsWhen a Pokémon is holdingFairium Zand uses its Z-Power,Nature's Madnessturns intoTwinkle Tackleand has base power100.When a Tapu is holdingTapunium Zand uses its Z-Power,Nature's Madnessturns intoGuardian of Alola.",No,7,0
Needle Arm,Grass,Physical,60,100,15,May cause flinching.,Needle Armdeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,Yes,3,0
Never-Ending Nightmare,Ghost,0,0,0,1,Ghost type Z-Move.,"Never-Ending Nightmareis the Ghost type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Night Daze,Dark,Special,85,95,10,May lower opponent's Accuracy.,Night Dazedeals damage and has a 40% chance of lowering the target's Accuracy by one stage.,No,5,0
Night Shade,Ghost,Special,0,100,15,Inflicts damage equal to user's level.,The damage ofNight Shadeis equal to the user's level. So at level 100 the Pokémon will inflict100 HPdamage.,No,1,0
Night Slash,Dark,Physical,70,100,15,High critical hit ratio.,Night Slashdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,Yes,4,0
Nightmare,Ghost,Status,0,100,15,The sleeping opponent loses 25% of its max HP each turn.,"If the target is asleep,Nightmarecauses it to lose1⁄4of its maximum HP after each turn. Thestatus conditionis cured when the Pokémon wakes up.",No,2,0
No Retreat,Fighting,Status,0,0,5,Raises all stats but user cannot switch out.,Raises all stats but user cannot switch out.							(100% chance),No,8,0
Noble Roar,Normal,Status,0,100,30,Lowers opponent's Attack and Special Attack.,Noble Roarlowers the target's Attack and Special Attack by one stage each.,No,6,0
Noxious Torque,Poison,Physical,100,100,10,May poison the opponent.,Noxious Torquedeals damage and has a 30% chance of poisoning the target.,No,9,0
Nuzzle,Electric,Physical,20,100,20,Paralyzes opponent.,"Nuzzledeals damage and paralyzes the target. Paralyzed Pokémon have a 25% chance of not being able to attack, and their Speed is decreased by 50% (75% inGenerations 1-6).",Yes,6,0
Oblivion Wing,Flying,Special,80,100,10,User recovers most of the HP inflicted on opponent.,Oblivion Wingdeals damage and the user will recover 75% of the HP drained.,No,6,0
Obstruct,Dark,Status,0,100,10,Protects the user and sharply lowers Defence on contact.,"Obstructprevents any attacks targeted at the user from striking, for the duration of the turn. If a contact move is targeted at the user on that turn, the attacker's Defense is lowered by two stages.",No,8,4
Oceanic Operetta,Water,Special,195,0,1,Primarina-exclusive Z-Move.,Oceanic Operettais a Water type Z-move exclusive toPrimarina. It is used with Primarina's signature moveSparkling Aria.,No,7,0
Octazooka,Water,Special,65,85,10,May lower opponent's Accuracy.,Octazookadeals damage and has a 50% chance of lowering the target's Accuracy by one stage.,No,2,0
Octolock,Fighting,Status,0,100,15,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.","Octolockprevents the target from fleeing or switching out, while the user remains in battle. It also lowers the target's Defense and Special Defense by one stage each every turn.",No,8,0
Odor Sleuth,Normal,Status,0,0,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.","Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.ChangesInGeneration 3,Odor Sleuthhas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Odor Sleuthturns intoZ-Odor Sleuthand raises Attack one stage, in addition to its usual effect as above.",No,3,0
Ominous Wind,Ghost,Special,60,100,5,May raise all user's stats at once.,"Ominous Winddeals damage and has a 10% chance of raising the user's Attack, Defense, Special Attack, Special DefenseandSpeed by one stage each.",No,4,0
Order Up,Dragon,Physical,80,100,10,Boosts Attack/Defense/Speed depending on ally Tatsugiri.,"Order Updeals damage. If the user, Dondozo, has aTatsugiriin its mouth, it also raises a particular stat depending on the form of Tatsugiri:",No,9,0
Origin Pulse,Water,Special,110,85,10,Hits all adjacent opponents.,Origin Pulsedeals damage and hits all adjacent opponents in double/triple battles.,No,6,0
Outrage,Dragon,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,"The user ofOutrageattacks for 2-3 turns, during which it cannot switch out, and then becomes confused. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance inGenerations 1-6). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack.",Yes,2,0
Overdrive,Electric,Special,80,100,10,Hits all adjacent opponents.,Hits all adjacent opponents.,No,8,0
Overheat,Fire,Special,130,90,5,Sharply lowers user's Special Attack.,Overheatdeals damage but lowers the user's Special Attack by two stages after attacking.,No,3,0
Pain Split,Normal,Status,0,0,20,The user's and opponent's HP becomes the average of both.,"The user's and opponent's HP becomes the average of both.ChangesInGeneration 2,Pain Splithas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Pain Splitturns intoZ-Pain Splitand raises Defense one stage, in addition to its usual effect as above.",No,2,0
Parabolic Charge,Electric,Special,65,100,20,User recovers half the HP inflicted on opponent.,Parabolic Chargedeals damage and the user will recover 50% of the HP drained. It targets all adjacent Pokémon.,No,6,0
Parting Shot,Dark,Status,0,100,20,Lowers opponent's Attack and Special Attack then switches out.,"Parting Shotlowers the opponent's Attack and Special Attack by one stage each, then the user switches out of battle.",No,6,0
Pay Day,Normal,Physical,40,100,20,Money is earned after the battle.,"Money is earned after the battle.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Pay Dayturns intoBreakneck Blitzand has base power100.",No,1,0
Payback,Dark,Physical,50,100,10,Power doubles if the user was attacked first.,"Power doubles if the user was attacked first.Z-Move effectsWhen a Pokémon is holdingDarkinium Zand uses its Z-Power,Paybackturns intoBlack Hole Eclipseand has base power100.",Yes,4,0
Peck,Flying,Physical,35,100,35,,"Peckdeals damage with no additional effect, besides being able to hit non-adjacent Pokémon in triple battles.",Yes,1,0
Perish Song,Normal,Status,0,0,5,Any Pokémon in play when this attack is used faints in 3 turns.,"Any Pokémon in play when this attack is used faints in 3 turns.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Perish Songturns intoZ-Perish Songand eliminates any stat drops applied to the user, in addition to its usual effect as above.",No,2,0
Petal Blizzard,Grass,Physical,90,100,15,Hits all adjacent Pokémon.,Petal Blizzarddeals damage with no additional effect.,No,6,0
Petal Dance,Grass,Special,120,100,10,User attacks for 2-3 turns but then becomes confused.,"The user ofPetal Danceattacks for 2-3 turns, during which it cannot switch out, and then becomes confused. Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance inGenerations 1-6). The damage received is as if the Pokémon attacks itself with a typeless 40 base power Physical attack.",Yes,1,0
Phantom Force,Ghost,Physical,90,100,10,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.","Phantom Forcecauses the user to disappear on the first turn, becoming invulnerable to most attacks. On the second turn, it deals damage and can hit Pokémon usingProtectorDetect.",Yes,6,0
Photon Geyser,Psychic,Special,100,100,5,"Uses Attack or Special Attack stat, whichever is higher.","Photon Geyserdeals damage, but uses either the user's Attack or Special Attack stat to determine its power, whichever is higher.",No,7,0
Pika Papow,Electric,Special,0,∞,20,Power increases when player's bond is stronger.,"Pika Papowis a Pikachu-exclusivePartner Powerfrom Pokémon Let's Go. The power increases when Pikachu's Friendship is higher (similar toReturn), up to a maximum base power of102.",No,7,0
Pin Missile,Bug,Physical,25,95,20,Hits 2-5 times in one turn.,"Pin Missilehits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",No,1,0
Plasma Fists,Electric,Physical,100,100,15,Changes Normal-type moves to Electric-type moves.,"Changes Normal-type moves to Electric-type moves.Z-Move effectsWhen a Pokémon is holdingElectrium Zand uses its Z-Power,Plasma Fiststurns intoGigavolt Havocand has base power180.",Yes,7,0
Play Nice,Normal,Status,0,0,20,Lowers opponent's Attack. Always hits.,"Play Nicelowers the target's Attack by one stage. The move always hits, even if the target used aProtect-like move.",No,6,0
Play Rough,Fairy,Physical,90,90,10,May lower opponent's Attack.,Play Roughdeals damage and has a 10% chance of lowering the target's Attack by one stage.,Yes,6,0
Pluck,Flying,Physical,60,100,20,"If the opponent is holding a berry, its effect is stolen by user.","If the opponent is holding a berry, its effect is stolen by user.Z-Move effectsWhen a Pokémon is holdingFlyinium Zand uses its Z-Power,Pluckturns intoSupersonic Skystrikeand has base power120.",Yes,4,0
Poison Fang,Poison,Physical,50,100,15,May badly poison opponent.,Poison Fangdeals damage and has a 50% chance ofbadly poisoningthe target. Badly poisoned Pokémon will lose an increasing amount of HP at the end of each turn.,Yes,3,0
Poison Gas,Poison,Status,0,90,40,Poisons opponent.,Poison Gascauses the target to become poisoned. Poisoned Pokémon lose1⁄8of their maximum HP each turn.,No,1,0
Poison Jab,Poison,Physical,80,100,20,May poison the opponent.,Poison Jabdeals damage and has a 30% chance of poisoning the target.,Yes,4,0
Poison Powder,Poison,Status,0,75,35,Poisons opponent.,Poison Powdercauses the target to become poisoned. Poisoned Pokémon lose1⁄8of their maximum HP each turn.,No,1,0
Poison Sting,Poison,Physical,15,100,35,May poison the opponent.,Poison Stingdeals damage and has a 30% chance of poisoning the target.,No,1,0
Poison Tail,Poison,Physical,50,100,25,High critical hit ratio. May poison opponent.,Poison Taildeals damage and has a 10% chance of poisoning the target. It also has an increased critical hit ratio (1⁄8instead of1⁄24).,Yes,3,0
Pollen Puff,Bug,Special,90,100,15,Deals damage to opponent or restores HP of teammate.,"Deals damage to opponent or restores HP of teammate.Z-Move effectsWhen a Pokémon is holdingBuginium Zand uses its Z-Power,Pollen Puffturns intoSavage Spin-Outand has base power175.",No,7,0
Poltergeist,Ghost,Physical,110,90,5,Fails if the target doesn’t have an item.,The user attacks the target by controlling the target’s item. The move fails if the target doesn’t have an item.,No,8,0
Population Bomb,Normal,Physical,20,90,10,Hits 1-10 times in a row.,Hits 1-10 times in a row.,Yes,9,0
Pounce,Bug,Physical,50,100,20,Lowers opponent's Speed.,Lowers opponent's Speed.							(100% chance),Yes,9,0
Pound,Normal,Physical,40,100,35,,Pounddeals damage with no additional effect.,Yes,1,0
Powder,Bug,Status,0,100,20,Damages Pokémon using Fire type moves.,"Powdermoves with priority and covers the target in a powder that lasts for the rest of the current turn only. It damages the target if they use a Fire type move in that turn, and prevents the Fire move from working.",No,6,1
Powder Snow,Ice,Special,40,100,25,May freeze opponent.,Powder Snowdeals damage and has a 10% chance of freezing the target.,No,2,0
Power Gem,Rock,Special,80,100,20,,Power Gemdeals damage with no additional effect.,No,4,0
Power Shift,Normal,Status,0,0,10,Switches Attack and Defense stats.,Power Shiftswitches the user's Attack stat with its Defense.,No,8,0
Power Split,Psychic,Status,0,0,10,Averages Attack and Special Attack with the target.,Power Splitaverages the user's Attack and Special Attack with those of the target. Stat boosts are not taken into account. The effect lasts until the battle ends or the Pokémon switches out.,No,5,0
Power Swap,Psychic,Status,0,0,10,User and opponent swap Attack and Special Attack.,"User and opponent swap Attack and Special Attack.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Power Swapturns intoZ-Power Swapand raises Speed one stage, in addition to its usual effect as above.",No,4,0
Power Trick,Psychic,Status,0,0,10,User's own Attack and Defense switch.,"User's own Attack and Defense switch.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Power Trickturns intoZ-Power Trickand raises Attack one stage, in addition to its usual effect as above.",No,4,0
Power Trip,Dark,Physical,20,100,10,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.","The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.Z-Move effectsWhen a Pokémon is holdingDarkinium Zand uses its Z-Power,Power Tripturns intoBlack Hole Eclipseand has base power160.",Yes,7,0
Power Whip,Grass,Physical,120,85,10,,Power Whipdeals damage with no additional effect.,Yes,4,0
Power-Up Punch,Fighting,Physical,40,100,20,Raises Attack.,Power-Up Punchdeals damage and raises the user's Attack by one stage.,Yes,6,0
Precipice Blades,Ground,Physical,120,85,10,Hits all adjacent opponents.,Precipice Bladesdeals damage and hits all adjacent opponents in double/triple battles.,No,6,0
Present,Normal,Physical,0,90,15,Either deals damage or heals.,"Either deals damage or heals.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Presentturns intoBreakneck Blitzand has base power100.",No,2,0
Prismatic Laser,Psychic,Special,160,100,10,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,"The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Prismatic Laserturns intoShattered Psycheand has base power200.",No,7,0
Protect,Normal,Status,0,0,10,"Protects the user, but may fail if used consecutively.","Protectprevents any attacks targeted at the user from striking, for the duration of the turn. It has priority +4 so will activate before most other moves. The move functions identically toDetect.",No,2,4
Psybeam,Psychic,Special,65,100,20,May confuse opponent.,Psybeamdeals damage and has a 10% chance ofconfusingthe target.,No,1,0
Psyblade,Psychic,Physical,80,100,15,Power increases on Electric Terrain.,"Psybladedeals damage, and its power is boosted by 50% on Electric Terrain.",No,9,0
Psych Up,Normal,Status,0,0,10,Copies the opponent's stat changes.,"Copies the opponent's stat changes.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Psych Upturns intoZ-Psych Upand fully restores the user's HP, in addition to its usual effect as above.",No,2,0
Psychic,Psychic,Special,90,100,10,May lower opponent's Special Defense.,Psychicdeals damage and has a 10% chance of lowering the target's Special Defense by one stage.,No,1,0
Psychic Fangs,Psychic,Physical,85,100,10,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,"The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Psychic Fangsturns intoShattered Psycheand has base power160.",Yes,7,0
Psychic Noise,Psychic,Special,75,100,10,Deals damage and prevents target from healing.,Deals damage and prevents target from healing.,No,9,0
Psychic Terrain,Psychic,Status,0,0,10,Prevents priority moves from being used for 5 turns.,"Psychic Terraincreates a low-lying psychic field lasting 5 turns, that prevents grounded Pokémon from being hit by high-priority moves (such asQuick AttackorSucker Punch). The power ofPsychictype moves also increases while in effect.",No,7,0
Psycho Boost,Psychic,Special,140,90,5,Sharply lowers user's Special Attack.,Psycho Boostdeals damage but lowers the user's Special Attack by two stages after attacking.,No,3,0
Psycho Cut,Psychic,Physical,70,100,20,High critical hit ratio.,Psycho Cutdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,No,4,0
Psycho Shift,Psychic,Status,0,100,10,Transfers user's status condition to the opponent.,"Psycho Shifttransfers any major status condition the user has (Poison, Burn, Paralysis, Sleep, Freeze) to the target, if the target does not already have a status condition.",No,4,0
Psyshield Bash,Psychic,Physical,70,90,10,Raises user's Defense and Special Defense.,Psyshield Bashdeals damage and raises the user's Defense by one stage.,Yes,8,0
Psyshock,Psychic,Special,80,100,10,"Inflicts damage based on the target's Defense, not Special Defense.","Inflicts damage based on the target's Defense, not Special Defense.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Psyshockturns intoShattered Psycheand has base power160.",No,5,0
